plantwild_label,image_count,mapping_status,mapped_label,notes
apple_black_rot,82,existing_plantguard_label,Apple___Black_rot,"Exact disease match (Apple black rot, Botryosphaeria obtusa)."
apple_mosaic_virus,89,new_label,apple_mosaic_virus,"Apple mosaic virus has no counterpart among PlantVillage's 4 apple classes (scab, black rot, cedar-apple rust, healthy)."
apple_rust,139,existing_plantguard_label,Apple___Cedar_apple_rust,"""Apple rust"" is the common shorthand for cedar-apple rust (Gymnosporangium juniperi-virginianae), the disease PlantVillage's class targets - confirmed via disease-ID research. Note: visually similar Gymnosporangium rusts (cedar-hawthorn, cedar-quince) exist; verify a few images if precision matters."
apple_scab,258,existing_plantguard_label,Apple___Apple_scab,"Exact disease match (Apple scab, Venturia inaequalis)."
banana_anthracnose,71,new_label,banana_anthracnose,No banana species in PlantVillage at all.
banana_black_leaf_streak,167,new_label,banana_black_leaf_streak,Black Sigatoka/black leaf streak - no banana in PlantVillage.
banana_bunchy_top,157,new_label,banana_bunchy_top,No banana in PlantVillage.
banana_cigar_end_rot,60,new_label,banana_cigar_end_rot,No banana in PlantVillage.
banana_cordana_leaf_spot,55,new_label,banana_cordana_leaf_spot,No banana in PlantVillage.
banana_panama_disease,63,new_label,banana_panama_disease,Panama disease/Fusarium wilt of banana - no banana in PlantVillage.
basil_downy_mildew,63,new_label,basil_downy_mildew,No basil in PlantVillage.
bean_halo_blight,56,new_label,bean_halo_blight,"No bean species in PlantVillage (Soybean is a separate, distinct PV crop label)."
bean_mosaic_virus,57,new_label,bean_mosaic_virus,No bean in PlantVillage.
bean_rust,115,new_label,bean_rust,No bean in PlantVillage.
bell_pepper_bacterial_spot,76,existing_plantguard_label,"Pepper,_bell___Bacterial_spot","Same crop (bell pepper) and same disease (Xanthomonas bacterial spot) as PlantVillage's ""Pepper,_bell___Bacterial_spot""; only naming convention differs."
bell_pepper_blossom_end_rot,112,new_label,bell_pepper_blossom_end_rot,"Blossom end rot is a physiological calcium-deficiency disorder, not a pathogen disease, and is not one of PlantVillage's 2 pepper classes."
bell_pepper_frogeye_leaf_spot,31,new_label,bell_pepper_frogeye_leaf_spot,"Frogeye leaf spot not among PlantVillage's pepper classes (Bacterial_spot, healthy only)."
bell_pepper_powdery_mildew,28,new_label,bell_pepper_powdery_mildew,Powdery mildew not among PlantVillage's pepper classes.
blueberry_anthracnose,42,new_label,blueberry_anthracnose,"PlantVillage has no blueberry disease class, only Blueberry___healthy."
blueberry_botrytis_blight,36,new_label,blueberry_botrytis_blight,No blueberry disease classes in PlantVillage.
blueberry_mummy_berry,46,new_label,blueberry_mummy_berry,No blueberry disease classes in PlantVillage.
blueberry_rust,44,new_label,blueberry_rust,No blueberry disease classes in PlantVillage.
blueberry_scorch,43,new_label,blueberry_scorch,No blueberry disease classes in PlantVillage.
broccoli_alternaria_leaf_spot,58,new_label,broccoli_alternaria_leaf_spot,No broccoli in PlantVillage.
broccoli_downy_mildew,36,new_label,broccoli_downy_mildew,No broccoli in PlantVillage.
broccoli_ring_spot,16,new_label,broccoli_ring_spot,No broccoli in PlantVillage.
cabbage_alternaria_leaf_spot,61,new_label,cabbage_alternaria_leaf_spot,No cabbage in PlantVillage.
cabbage_black_rot,131,new_label,cabbage_black_rot,No cabbage in PlantVillage.
cabbage_downy_mildew,84,new_label,cabbage_downy_mildew,No cabbage in PlantVillage.
carrot_alternaria_leaf_blight,60,new_label,carrot_alternaria_leaf_blight,No carrot in PlantVillage.
carrot_cavity_spot,72,new_label,carrot_cavity_spot,No carrot in PlantVillage.
carrot_cercospora_leaf_blight,19,new_label,carrot_cercospora_leaf_blight,No carrot in PlantVillage.
cauliflower_alternaria_leaf_spot,54,new_label,cauliflower_alternaria_leaf_spot,No cauliflower in PlantVillage.
cauliflower_bacterial_soft_rot,36,new_label,cauliflower_bacterial_soft_rot,No cauliflower in PlantVillage.
